-e	-e	Rq-y
társait	társ	Nc-pa---s3
társakkal	társ	Nc-pi
társakkal	társakk	Nc-si
társalgott	társalgott	Afp-sn
társalgott	társalog	Vmis3s---n
társalgás	társalgás	Afp-sn
társalgás	társalgás	Nc-sn
társalgásban	társalgás	Afp-s2
társalgásban	társalgás	Nc-s2
társalgáshoz	társalgás	Afp-st
társalgáshoz	társalgás	Nc-st
társalgási	társalgási	Afp-sn
társalgási	társalgási	Nc-sn
társalgást	társalgás	Afp-sa
társalgást	társalgás	Nc-sa
társalogtak	társalog	Vmis3p---n
társas	társas	Afp-sn
társasházakat	társasház	Nc-pa
társaság	társaság	Nc-sn
társasága	társaság	Nc-sn---s3
társaságban	társaság	Nc-s2
társaságból	társaság	Nc-se
társasággal	társaság	Nc-si
társaságnak	társaság	Nc-sd
társaságok	társaság	Nc-pn
társaságokat	társaság	Nc-pa
társaságokban	társaság	Nc-p2
társaságoknak	társaság	Nc-pd
társaságoknál	társaság	Nc-p3
társaságot	társaság	Nc-sa
társaságában	társaság	Nc-s2---s3
társaságára	társaság	Nc-ss---s3
társelnök-vezérigazgatója	társelnök-vezérigazgató	Afp-sn----s3
társelnök-vezérigazgatója	társelnök-vezérigazgató	Nc-sn---s3
társelnökei	társelnök	Nc-pn---s3
társigazgatóját	társigazgató	Afp-sa----s3
társigazgatóját	társigazgató	Nc-sa---s3
társnak	társ	Nc-sd
társszakszervezetek	társszakszervezet	Nc-pn
társszerzője	társszerző	Afp-sn----s3
társszerzője	társszerző	Nc-sn---s3
társtulajdonosaként	társtulajdonos	Afp-sf----s3
társtulajdonosaként	társtulajdonos	Rg
társulat	társulat	Nc-sn
társulata	társulat	Nc-sn---s3
társulatai	társulat	Nc-pn---s3
társulatnak	társulat	Nc-sd
társulatnál	társulat	Nc-s3
társulatok	társulat	Nc-pn
társulatokkal	társulat	Nc-pi
társulatunk	társulat	Nc-sn---p1
társulatát	társulat	Nc-sa---s3
társulva	társulva	Rv
társulásban	társulás	Nc-s2
társulásos	társulásos	Afp-sn
tárt	tár	Nc-sa
tárt	tár	Vmis3s---n
tárt	tárt	Afp-sn
tárta	tár	Vmis3s---y
tártak	tár	Vmis3p---n
tártak	tárt	Afp-pn
tárulnak	tárul	Vmip3p---n
táruló	táruló	Afp-sn
táska	táska	Nc-sn
táskában	táska	Nc-s2
táskák	táska	Nc-pn
táskás	táskás	Afp-sn
táskát	táska	Nc-sa
tátong	tátong	Vmip3s---n
táv-sajtókonferenciát	táv-sajtókonferencia	Nc-sa
távcső	távcső	Nc-sn
távfűtés	távfűtés	Nc-sn
távfűtéses	távfűtéses	Afp-sn
távfűtési	távfűtési	Afp-sn
távfűtésről	távfűtés	Nc-sh
távfűtéstől	távfűtés	Nc-sb
távfűtését	távfűtés	Nc-sa-----s
távfűtését	távfűtés	Nc-sa---s3
távfűtését	távfűtését	Nc-sn
távfűtők	távfűtő	Afp-pn
távfűtők	távfűtő	Nc-pn
távfűtőművek	távfűtőmű	Nc-pn
távfűtőműveknek	távfűtőmű	Nc-pd
távfűtőrendszerről	távfűtőrendszer	Nc-sh
távfűtős	távfűtős	Afp-sn
távhőszolgáltatás	távhőszolgáltatás	Nc-sn
távhőszolgáltatásra	távhőszolgáltatás	Nc-ss
távhőszolgáltatásról	távhőszolgáltatás	Nc-sh
távirat	távirat	Nc-sn
táviratban	távirat	Nc-s2
távirati	távirati	Afp-sn
távközlési	távközlési	Afp-sn
távlatban	távlat	Nc-s2
távlatot	távlat	Nc-sa
távlatában	távlat	Nc-s2---s3
távlatából	távlat	Nc-se---s3
távoktatás	távoktatás	Nc-sn
távoktatási	távoktatási	Afp-sn
távol	távol	Afp-sn
távol	távol	Rg
távolabb	távol	Afc-sn
távolabbi	távolabbi	Afp-sn
távolabbról	távol	Afc-sh
távolban	távol	Afp-s2
távolból	távol	Afp-se
távoli	távoli	Afp-sn
távoliak	távoli	Afp-pn
távolian	távoli	Afp-sw
távolit	távoli	Afp-sa
távollevő	távollevő	Afp-sn
távollevő	távollevő	Nc-sn
távolléte	távollét	Nc-sn---s3
távollétemben	távollét	Nc-s2
távollétük	távollét	Nc-sn---p3
távolmaradásuk	távolmaradás	Nc-sn---p3
távolról	távol	Afp-sh
távolság	távolság	Nc-sn
távolságban	távolság	Nc-s2
távolságból	távolság	Nc-se
távolságokba	távolság	Nc-px
távolságra	távolság	Nc-ss
távolságáról	távolság	Nc-sh---s3
távoltartó	távoltartó	Afp-sn
távoltartó	távoltartó	Nc-sn
távolította	távolít	Vmis3s---y
távon	táv	Nc-sp
távot	táv	Nc-sa
távozik	távoz	Vmip3s---n
távozik	távozik	Vmip3s---n
távoznak	távoz	Vmip3p---n
távoznak	távozik	Vmip3p---n
távozni	távoz	Vmn
távozni	távozik	Vmn
távoznod	távoz	Vmnp2s
távoznod	távozik	Vmnp2s
távoznotok	távoz	Vmnp2p
távoznotok	távozik	Vmnp2p
távozol	távoz	Vmip2s---n
távozol	távozik	Vmip2s---n
távozott	távoz	Vmis3s---n
távozott	távozik	Vmis3s---n
távozott	távozott	Afp-sn
távozva	távozva	Rv
távozz	távoz	Vmmp2s---n
távozz	távozik	Vmmp2s---n
távozzon	távoz	Vmmp3s---n
távozzon	távozik	Vmmp3s---n
távozzék	távoz	Vmmp3s---n
távozzék	távozik	Vmmp3s---n
távozása	távozás	Nc-sn---s3
távozásával	távozás	Nc-si---s3
távozó	távozó	Afp-sn
távra	táv	Nc-ss
távszolgáltatás	távszolgáltatás	Nc-sn
távvezeték	távvezeték	Nc-sn
távú	távú	Afp-sn
tébolyodott	tébolyodik	Vmis3s---n
tébolyodott	tébolyodott	Afp-sn
tébolyodott	tébolyodott	Nc-sn
téged	te	Pp2-sa
tégla	tégla	Nc-sn
téglafalai	téglafal	Nc-pn---s3
téglafalaival	téglafal	Nc-pi---s3
téglalap	téglalap	Nc-sn
téglalapját	téglalap	Nc-sa---s3
téglaszínűek	téglaszínű	Afp-pn
téglavörös	téglavörös	Afp-sn
téglából	tégla	Nc-se
téglák	tégla	Nc-pn
tél	tél	Nc-sn
télben	tél	Nc-s2
télen	tél	Nc-sp
téli	téli	Afp-sn
télidőben	télidő	Nc-s2
télikabátosan	télikabátos	Afp-sw
télikertből	télikert	Nc-se
télvíz	télvíz	Nc-sn
téma	téma	Nc-sn
témacsoport	témacsoport	Nc-sn
témaköreit	témakör	Nc-pa---s3
témába	téma	Nc-sx
témában	téma	Nc-s2
témához	téma	Nc-st
témája	téma	Nc-sn---s3
témájú	témájú	Afp-sn
témákat	téma	Nc-pa
témáktól	téma	Nc-pb
témánkban	téma	Nc-s2---p1
témáról	téma	Nc-sh
témát	téma	Nc-sa
témával	téma	Nc-si
témává	téma	Nc-sy
ténnyel	tény	Nc-si
tény	tény	Nc-sn
ténye	tény	Nc-sn---s3
tények	tény	Nc-pn
tényeket	tény	Nc-pa
tényeknek	tény	Nc-pd
tényekre	tény	Nc-ps
tényekről	tény	Nc-ph
tényező	tényező	Afp-sn
tényező	tényező	Nc-sn
tényezői	tényező	Afp-pn----s3
tényezői	tényező	Nc-pn---s3
tényezői	tényezői	Afp-sn
tényezők	tényező	Afp-pn
tényezők	tényező	Nc-pn
tényezőnek	tényező	Afp-sd
tényezőnek	tényező	Nc-sd
tényezőre	tényező	Afp-ss
tényezőre	tényező	Nc-ss
tényezőt	tényező	Afp-sa
tényezőt	tényező	Nc-sa
tényezővé	tényező	Afp-sy
tényezővé	tényező	Nc-sy
tényfeltáró	tényfeltáró	Afp-sn
ténykedése	ténykedés	Nc-sn---s3
tényleg	tényleg	Rg
tényleges	tényleges	Afp-sn
ténylegesen	tényleges	Afp-sp
ténylegesen	tényleges	Afp-sw
tényre	tény	Nc-ss
tényt	tény	Nc-sa
ténytől	tény	Nc-sb
tényén	tény	Nc-sp-----s
tényén	tény	Nc-sp---s3
tényének	tény	Nc-sd-----s
tényének	tény	Nc-sd---s3
tényének	tényének	Nc-sn
tépdesték	tépdes	Vmis3p---y
tépelődő	tépelődő	Afp-sn
tépelődő	tépelődő	Nc-sn
tépett	tép	Vmis3s---n
tépett	tépett	Afp-sn
tépjék	tép	Vmmp3p---y
tépjük	tép	Vmip1p---y
tépjük	tép	Vmmp1p---y
tépnek	tép	Vmip3p---n
tépni	tép	Vmn
tépte	tép	Vmis3s---y
tépték	tép	Vmis3p---y
tér	tér	Nc-sn
tér	tér	Vmip3s---n
térbe	tér	Nc-sx
térben	tér	Nc-s2
térde	térd	Nc-sn---s3
térdei	térd	Nc-pn---s3
térdeket	térd	Nc-pa
térdelt	térdel	Vmis3s---n
térdelt	térdelt	Afp-sn
térdeltek	térdel	Vmip2p---n
térdeltek	térdel	Vmis3p---n
térdeltek	térdelt	Afp-pn
térdem	térd	Nc-sn---s1
térden	térd	Nc-sp
térdhajlítás	térdhajlítás	Nc-sn
térdig	térd	Nc-s9
térdre	térd	Nc-ss
térdén	térd	Nc-sp-----s
térdén	térd	Nc-sp---s3
térdének	térd	Nc-sd-----s
térdének	térd	Nc-sd---s3
térdének	térdének	Nc-sn
térdénél	térd	Nc-s3-----s
térdénél	térd	Nc-s3---s3
térdére	térd	Nc-ss-----s
térdére	térd	Nc-ss---s3
térdéről	térd	Nc-sh-----s
térdéről	térd	Nc-sh---s3
térdét	térd	Nc-sa-----s
térdét	térd	Nc-sa---s3
térdét	térdét	Nc-sn
térdükön	térd	Nc-sp---p3
téren	tér	Nc-sp
térfogatába	térfogat	Nc-sx---s3
térhet	térhet	Vmip3s---n
térhetett	térhet	Vmis3s---n
térhettünk	térhet	Vmis1p---n
térhetünk	térhet	Vmip1p---n
térhetünk	térhét	Nc-sn---p1
téri	tér	Vmip3s---y
téri	téri	Afp-sn
téri	téri	Nc-sn
tériszonya	tériszony	Nc-sn---s3
térjen	tér	Vmmp3s---n
térjen	térjen	Nc-sn
térjünk	tér	Vmmp1p---n
térkép	térkép	Nc-sn
térképe	térkép	Nc-sn---s3
térképen	térkép	Nc-sp
térképet	térkép	Nc-sa
térképezte	térképez	Vmis3s---y
térképre	térkép	Nc-ss
térképén	térkép	Nc-sp-----s
térképén	térkép	Nc-sp---s3
térképét	térkép	Nc-sa-----s
térképét	térkép	Nc-sa---s3
térképét	térképét	Nc-sn
térnek	tér	Nc-sd
térnek	tér	Vmip3p---n
térni	tér	Vmn
térnyerését	térnyerés	Nc-sa-----s
térnyerését	térnyerés	Nc-sa---s3
térre	tér	Nc-ss
térsz	tér	Vmip2s---n
térszín	térszín	Nc-sn
térség	térség	Nc-sn
térségbe	térség	Nc-sx
térségben	térség	Nc-s2
térségből	térség	Nc-se
térségei	térség	Nc-pn---s3
térségeivel	térség	Nc-pi---s3
térségekben	térség	Nc-p2
térséget	térség	Nc-sa
térségi	térségi	Afp-sn
térségre	térség	Nc-ss
térségében	térség	Nc-s2-----s
térségében	térség	Nc-s2---s3
térségében	térségében	Nc-sn
térségén	térség	Nc-sp-----s
térségén	térség	Nc-sp---s3
térségének	térség	Nc-sd-----s
térségének	térség	Nc-sd---s3
térségének	térségének	Nc-sn
tért	tér	Vmis3s---n
tért	tért	Afp-sn
tértek	tér	Vmip2p---n
tértek	tér	Vmis3p---n
tértek	tért	Afp-pn
térítenie	térít	Vmnp3s
térítette	térít	Vmis3s---y
térítés	térítés	Nc-sn
térítéskötelessé	térítésköteles	Afp-sy
térítésmentes	térítésmentes	Afp-sn
térüljünk	térül	Vmmp1p---n
térültek	térül	Vmis3p---n
tészta	tészta	Nc-sn
tésztacsináláshoz	tésztacsinálás	Nc-st
tésztaféle	tésztaféle	Afp-sn
tésztalevest	tésztaleves	Afp-sa
tésztalevest	tésztaleves	Nc-sa
tésztában	tészta	Nc-s2
tésztából	tészta	Nc-se
tésztás	tésztás	Afp-sn
tésztát	tészta	Nc-sa
tét	tét	Nc-sn
tétel	tétel	Nc-sn
tételben	tétel	Nc-s2
tétele	tétel	Nc-sn---s3
tételei	tétel	Nc-pn---s3
tételek	tétel	Nc-pn
tételeket	tétel	Nc-pa
tételekre	tétel	Nc-ps
tételekről	tétel	Nc-ph
tételes	tételes	Afp-sn
tételezte	tételez	Vmis3s---y
tételkönyvbe	tételkönyv	Nc-sx
tételt	tétel	Nc-sa
tételének	tétel	Nc-sd-----s
tételének	tétel	Nc-sd---s3
tételének	tételének	Nc-sn
tételét	tétel	Nc-sa-----s
tételét	tétel	Nc-sa---s3
tételét	tételét	Nc-sn
tételével	tétel	Nc-si-----s
tételével	tétel	Nc-si---s3
tétje	tét	Nc-sn---s3
tétlenül	tétlen	Afp-sw
tétmérkőzésre	tétmérkőzés	Nc-ss
tétova	tétova	Afp-sn
tétován	tétova	Afp-sp
tétován	tétova	Afp-sw
tétovázott	tétováz	Vmis3s---n
tétovázott	tétovázik	Vmis3s---n
tétovázott	tétovázott	Afp-sn
tétováztunk	tétováz	Vmis1p---n
tétováztunk	tétovázik	Vmis1p---n
tétovázva	tétovázva	Rv
tétovázás	tétovázás	Nc-sn
téve	téve	Rv
téved	téved	Vmip3s---n
tévedett	téved	Vmis3s---n
tévedett	tévedett	Afp-sn
tévedhet	tévedhet	Vmip3s---n
tévedhetne	tévedhet	Vmcp3s---n
tévedsz	téved	Vmip2s---n
tévedt	téved	Vmis3s---n
tévedt	tévedt	Afp-sn
tévedtem	téved	Vmis1s---n
tévedtem	téved	Vmis1s---y
tévedtem	tévedt	Afp-sn----s1
tévedtünk	téved	Vmis1p---n
tévedtünk	tévedt	Afp-sn----p1
tévedés	tévedés	Nc-sn
tévedéseiből	tévedés	Nc-pe---s3
tévedéseket	tévedés	Nc-pa
tévedésekre	tévedés	Nc-ps
tévedésemnek	tévedés	Nc-sd
tévedésre	tévedés	Nc-ss
tévedést	tévedés	Nc-sa
tévelygő	tévelygő	Afp-sn
téves	téves	Afp-sn
tévesek	téves	Afp-pn
tévesen	téves	Afp-sp
tévesen	téves	Afp-sw
tévessze	téveszt	Vmmp3s---y
tévesszenek	téveszt	Vmmp3p---n
tévesztették	téveszt	Vmis3p---y
tévesztették	tévesztet	Vmis3p---y
tévid	tévid	Nc-sn
tévé	tévé	Nc-sn
tévében	tévé	Nc-s2
tévéelnökkel	tévéelnök	Nc-si
tévéjátékot	tévéjáték	Nc-sa
tévénézők	tévénéző	Afp-pn
tévénézők	tévénéző	Nc-pn
tévés	tévés	Afp-sn
tévéstábok	tévéstáb	Nc-pn
tévéstúdió	tévéstúdió	Nc-sn
tévét	tévé	Nc-sa
típus	típus	Nc-sn
típusa	típus	Nc-sn---s3
típusai	típus	Nc-pn---s3
típusait	típus	Nc-pa---s3
típusjelű	típusjelű	Afp-sn
típusok	típus	Nc-pn
típusokat	típus	Nc-pa
típust	típus	Nc-sa
típusát	típus	Nc-sa---s3
típusú	típusú	Afp-sn
típusúak	típusú	Afp-pn
tíz	tíz	Mc-snl
tíz-húsz	tíz-húsz	Mc-snl
tíz-húsz-harminc	tíz-húsz-harminc	Mc-snl
tíz-tizenegy	tíz-tizenegy	Mc-snl
tíz-tizenkét	tíz-tizenkét	Mc-snl
tíz-tizennyolc	tíz-tizennyolc	Mc-snl
tíz-tizenöt	tíz-tizenöt	Mc-snl
tízen	tíz	Mc-spl
tízen	tíz	Mc-swl
tízezer	tízezer	Mc-snl
tízezredszer	tízezred	Mc-s6l
tízezres	tízezres	Afp-sn
tízezrével	tízezer	Mc-sil------s
tízezrével	tízezer	Mc-sil----s3
tízkor	tíz	Mc-sml
tízmilliárd	tízmilliárd	Mc-snl
tízmillió	tízmillió	Mc-snl
tízméternyire	tízméternyi	Afp-ss
tízpengős	tízpengős	Afp-sn
tízpercnyi	tízpercnyi	Afp-sn
tízszeres	tízszeres	Afp-sn
tízszeresen	tízszeres	Afp-sp
tízszeresen	tízszeres	Afp-sw
tízszeresének	tízszeres	Afp-sd------s
tízszeresének	tízszeres	Afp-sd----s3
tízzel	tíz	Mc-sil
tízéves	tízéves	Afp-sn
tízóraira	tízórai	Nc-ss
tó	tó	Nc-sn
tócsákat	tócsa	Nc-pa
tócsákba	tócsa	Nc-px
tódult	tódul	Vmis3s---n
tódult	tódult	Afp-sn
tódultak	tódul	Vmis3p---n
tódultak	tódult	Afp-pn
tók	tók	X
tónusa	tónus	Nc-sn---s3
tónusainak	tónus	Nc-pd---s3
tónusban	tónus	Nc-s2
tónusokkal	tónus	Nc-pi
tónusú	tónusú	Afp-sn
tóparti	tóparti	Afp-sn
tórészlete	tórészlet	Nc-sn---s3
több	több	Afp-sn
több	több	Mc-snl
többe	több	Afp-sx
többe	több	Mc-sxl
többek	több	Mc-pnl
többektől	több	Mc-pbl
többel	több	Afp-si
többel	több	Mc-sil
többen	több	Afp-s2
többen	több	Afp-sw
többen	több	Mc-s2l
többen	több	Mc-spl
többen	több	Mc-swl
többes	többes	Afp-sn
többes	többes	Nc-sn
többese	többes	Afp-sn----s3
többese	többes	Nc-sn---s3
többet	több	Mc-sal
többet	többet	Rg
többgyermekes	többgyermekes	Afp-sn
többi	többi	Afp-sn
többiek	többi	Afp-pn
többieken	többi	Afp-pp
többieket	többi	Afp-pa
többiekkel	többi	Afp-pi
többieknek	többi	Afp-pd
többieké	többi	Afp-pn------s
többinek	többi	Afp-sd
többinél	többi	Afp-s3
többire	többi	Afp-ss
többiről	többi	Afp-sh
többit	többi	Afp-sa
többitől	többi	Afp-sb
többivel	többi	Afp-si
többié	többi	Afp-sn------s
többlete	többlet	Nc-sn---s3
többletkiadás	többletkiadás	Nc-sn
többletköltségeit	többletköltség	Nc-pa---s3
többletköltségeket	többletköltség	Nc-pa
többlettámogatást	többlettámogatás	Nc-sa
többlépéses	többlépéses	Afp-sn
többmilliós	többmilliós	Afp-sn
többnapi	többnapi	Afp-sn
többnemzetiségű	többnemzetiségű	Afp-sn
többnyire	többnyi	Afp-ss
többnyire	többnyire	Rg
többpártrendszer	többpártrendszer	Nc-sn
többre	több	Afp-ss
többre	több	Mc-ssl
többször	többször	Rg
többszöri	többszöri	Afp-sn
többszörös	többszörös	Nc-sn
többszörösét	többszörös	Nc-sa-----s
többszörösét	többszörös	Nc-sa---s3
többség	többség	Nc-sn
többsége	többség	Nc-sn---s3
többséget	többség	Nc-sa
többséggel	többség	Nc-si
többséghez	többség	Nc-st
többségi	többségi	Afp-sn
többségében	többség	Nc-s2-----s
többségében	többség	Nc-s2---s3
többségében	többségében	Nc-sn
többségének	többség	Nc-sd-----s
többségének	többség	Nc-sd---s3
többségének	többségének	Nc-sn
többségét	többség	Nc-sa-----s
többségét	többség	Nc-sa---s3
többségét	többségét	Nc-sn
többségéé	többség	Nc-sn-----s
többségéé	többség	Nc-sn---s3s
többségük	többség	Nc-sn---p3
többségükben	többség	Nc-s2---p3
többségüket	többség	Nc-sa---p3
többségű	többségű	Afp-sn
többtonnás	többtonnás	Afp-sn
többtucatnyi	többtucatnyi	Afp-sn
többé	több	Afp-sn------s
többé	több	Afp-sy
többé	több	Mc-snl------s
többé	több	Mc-syl
többé	többé	Rg
többé-kevésbé	többé-kevésbé	Rg
többórai	többórai	Afp-sn
többórás	többórás	Afp-sn
töklaska	töklaska	Nc-sn
tökmaghéj	tökmaghéj	Nc-sn
tökmaghéjjal	tökmaghéj	Nc-si
tökéletes	tökéletes	Afp-sn
tökéletesebb	tökéletes	Afc-sn
tökéletesebben	tökéletes	Afc-s2
tökéletesebben	tökéletes	Afc-sp
tökéletesebben	tökéletes	Afc-sw
tökéletesen	tökéletes	Afp-sp
tökéletesen	tökéletes	Afp-sw
tökéletessé	tökéletes	Afp-sy
tökéletességükbe	tökéletesség	Nc-sx---p3
tökéletlen	tökéletlen	Afp-sn
tökéletlenül	tökéletlen	Afp-sw
tökélyre	tökély	Nc-ss
tölcséres	tölcséres	Afp-sn
tölcsérrel	tölcsér	Nc-si
tölgyfa	tölgyfa	Nc-sn
töltelék	töltelék	Nc-sn
töltendő	töltendő	Afp-sn
töltenek	tölt	Vmip3p---n
tölteni	tölt	Vmn
töltenie	tölt	Vmnp3s
töltetekkel	töltet	Nc-pi
töltetett	töltet	Vmis3s---n
töltetett	töltetett	Afp-sn
tölthetett	tölthet	Vmis3s---n
tölti	tölt	Vmip3s---y
töltsék	tölt	Vmmp3p---y
töltve	töltve	Rv
töltésen	töltés	Afp-sp
töltésen	töltés	Afp-sw
töltésen	töltés	Nc-sp
töltésig	töltés	Afp-s9
töltésig	töltés	Nc-s9
töltésről	töltés	Afp-sh
töltésről	töltés	Nc-sh
töltök	tölt	Vmip1s---n
töltött	tölt	Vmis3s---n
töltött	töltött	Afp-sn
töltötte	tölt	Vmis3s---y
töltöttek	tölt	Vmis3p---n
töltöttek	töltött	Afp-pn
töltötték	tölt	Vmis3p---y
töltöttük	tölt	Vmis1p---y
töltöttük	töltött	Afp-sn----p3
töltöttünk	töltött	Afp-sn----p1
töltőtolla	töltőtoll	Nc-sn---s3
töltőtollaikat	töltőtoll	Nc-pa---p3
töltőtollat	töltőtoll	Nc-sa
tömb	tömb	Nc-sn
tömbben	tömb	Nc-s2
tömbtelkeken	tömbtelek	Nc-pp
tömbön	tömb	Nc-sp
tömbönként	tömb	Nc-su
tömeg	tömeg	Nc-sn
tömegben	tömeg	Nc-s2
tömegbúzája	tömegbúza	Nc-sn---s3
tömegből	tömeg	Nc-se
tömege	tömeg	Nc-sn---s3
tömegei	tömeg	Nc-pn---s3
tömegeinek	tömeg	Nc-pd---s3
tömegek	tömeg	Nc-pn
tömegeket	tömeg	Nc-pa
tömegeknek	tömeg	Nc-pd
tömegekéhez	tömeg	Nc-pt-----s
tömegekéhez	tömegeke	Nc-st
tömegemberek	tömegember	Nc-pn
tömegen	tömeg	Nc-sp
tömeges	tömeges	Afp-sn
tömeget	tömeg	Nc-sa
tömeggel	tömeg	Nc-si
tömeggyilkos	tömeggyilkos	Afp-sn
tömeggyilkos	tömeggyilkos	Nc-sn
tömeggyilkosságok	tömeggyilkosság	Nc-pn
tömeggyűlésen	tömeggyűlés	Nc-sp
tömeggé	tömeg	Nc-sy
tömegközlekedéssel	tömegközlekedés	Nc-si
tömegmészárlásra	tömegmészárlás	Nc-ss
tömegnek	tömeg	Nc-sd
tömegsír	tömegsír	Nc-sn
tömegsírjait	tömegsír	Nc-pa---s3
tömegsírok	tömegsír	Nc-pn
tömegsírokat	tömegsír	Nc-pa
tömegsírokra	tömegsír	Nc-ps
tömegverekedés	tömegverekedés	Nc-sn
tömegéhez	tömeg	Nc-st-----s
tömegéhez	tömeg	Nc-st---s3
tömegéhez	tömegéhez	Vmip3s---n
tömegén	tömeg	Nc-sp-----s
tömegén	tömeg	Nc-sp---s3
tömegét	tömeg	Nc-sa-----s
tömegét	tömeg	Nc-sa---s3
tömegét	tömegét	Nc-sn
tömegétől	tömeg	Nc-sb-----s
tömegétől	tömeg	Nc-sb---s3
tömegével	tömeg	Nc-si-----s
tömegével	tömeg	Nc-si---s3
tömjénszagában	tömjénszag	Nc-s2---s3
tömpe	tömpe	Afp-sn
tömte	töm	Vmis3s---y
tömtek	töm	Vmis3p---n
tömve	tömve	Rv
tömzsi	tömzsi	Afp-sn
töméntelen	töméntelen	Afp-sn
töméntelen	töméntelen	Mc-snl
töméntelen	töméntelen	Rg
töményen	tömény	Afp-sp
tömérdek	tömérdek	Afp-sn
tömérdek	tömérdek	Mc-snl
tömöríteni	tömörít	Vmn
tömörítő	tömörítő	Afp-sn
tömörülés	tömörülés	Nc-sn
tömöttek	tömött	Afp-pn
tönkre	tönk	Nc-ss
tönkre	tönkre	Rp
tönkremegy	tönkremegy	Vmip3s---n
tönkrement	tönkremegy	Vmis3s---n
tönkrement	tönkrement	Afp-sn
tönkrement	tönkrement	Vmip3s---n
tönkreteheti	tönkretehet	Vmip3s---y
tönkreteszi	tönkretesz	Vmip3s---y
tönkreteszi	tönkreteszi	Afp-sn
tönkretették	tönkretesz	Vmis3p---y
tönkretétele	tönkretétel	Nc-sn---s3
tönkrezúzhatja	tönkrezúzhat	Vmip3s---y
töprengene	töpreng	Vmcp3s---n
töprengeni	töpreng	Vmn
töprengett	töpreng	Vmis3s---n
töprengett	töprengett	Afp-sn
töprengtem	töpreng	Vmis1s---n
töprengtem	töpreng	Vmis1s---y
töprengtünk	töpreng	Vmis1p---n
töprengve	töprengve	Rv
töprengéseit	töprengés	Nc-pa---s3
töprengések	töprengés	Nc-pn
töprengésre	töprengés	Nc-ss
töprengő	töprengő	Afp-sn
tör	tör	Vmip3s---n
törd	tör	Vmmp2s---y
törd	törik	Vmmp2s---y
töredezett	töredezett	Afp-sn
töredezett	töredezik	Vmis3s---n
töredéke	töredék	Nc-sn---s3
töredékei	töredék	Nc-pn---s3
töredékeit	töredék	Nc-pa---s3
töredékek	töredék	Nc-pn
töredékes	töredékes	Afp-sn
töredéket	töredék	Nc-sa
töredékére	töredék	Nc-ss-----s
töredékére	töredék	Nc-ss---s3
töredékét	töredék	Nc-sa-----s
töredékét	töredék	Nc-sa---s3
töredékét	töredékét	Nc-sn
törekednek	törek	Nc-sd---s2
törekednek	törekedik	Vmip3p---n
törekedni	törekedik	Vmn
törekedtem	törekedik	Vmis1s---n
törekedtem	törekedik	Vmis1s---y
töreket	törek	Nc-sa
törekszik	törekszik	Nc-sn
törekszik	törekszik	Vmip3p---y
törekszik	törekszik	Vmip3s---n
törekvés	törekvés	Nc-sn
törekvéseit	törekvés	Nc-pa---s3
törekvéshez	törekvés	Nc-st
törekvéssel	törekvés	Nc-si
törekvését	törekvés	Nc-sa-----s
törekvését	törekvés	Nc-sa---s3
törekvését	törekvését	Nc-sn
törekvő	törekvő	Afp-sn
törekvő	törekvő	Nc-sn
töretlen	töretlen	Afp-sn
töretlen	töretlen	Rg
törhetetlen	törhetetlen	Afp-sn
törhetetlen	törhetetlen	Rg
törhetetlenek	törhetetlen	Afp-pn
törheti	törhet	Vmip3s---y
törhetnék	törhet	Vmcp1s---n
törhetnék	törhet	Vmcp3p---y
töri	tör	Vmip3s---y
töri	törik	Vmip3s---y
törik	tör	Vmip3p---y
törik	törik	Vmip3p---y
törik	törik	Vmip3s---n
törjön	tör	Vmmp3s---n
törjön	törik	Vmmp3s---n
törjük	tör	Vmip1p---y
törjük	tör	Vmmp1p---y
törjük	törik	Vmip1p---y
törjük	törik	Vmmp1p---y
törlendők	törlendő	Afp-pn
törleszteni	törleszt	Vmn
törlesztenie	törleszt	Vmnp3s
törleszteniük	törleszt	Vmnp3p
törlesztette	törleszt	Vmis3s---y
törlesztette	törlesztet	Vmis3s---y
törlesztik	törleszt	Vmip3p---y
törlesztéseként	törlesztés	Rg
törlesztésére	törlesztés	Nc-ss-----s
törlesztésére	törlesztés	Nc-ss---s3
törlik	töröl	Vmip3p---y
törléshez	törlés	Nc-st
törlést	törlés	Nc-sa
törlésére	törlés	Nc-ss-----s
törlésére	törlés	Nc-ss---s3
törmelék	törmelék	Nc-sn
törmelékkel	törmelék	Nc-si
törmelékkel	törmelékkel	Nc-sn
törni	tör	Vmn
törni	törik	Vmn
törnie	tör	Vmnp3s
törnie	törik	Vmnp3s
tört	tör	Vmis3s---n
tört	törik	Vmis3s---n
tört	tört	Afp-sn
tört	tört	Nc-sn
törte	tör	Vmis3s---y
törte	törik	Vmis3s---y
törtek	tör	Vmis3p---n
törtek	törik	Vmis3p---n
törtek	tört	Afp-pn
törtetett	törtet	Vmis3s---n
törtetett	törtetett	Afp-sn
törtetnek	törtet	Vmip3p---n
törtettek	törtet	Vmip2p---n
törtettek	törtet	Vmis3p---n
törtető	törtető	Afp-sn
törtető	törtető	Nc-sn
történelem	történelem	Nc-sn
történelembe	történelem	Nc-sx
történelemben	történelem	Nc-s2
történelemből	történelem	Nc-se
történelemkönyve	történelemkönyv	Nc-sn---s3
történelemkönyvek	történelemkönyv	Nc-pn
történelemkönyvekben	történelemkönyv	Nc-p2
